title,alt_title,type,num_of_ep,studio,year,rating,description,tags

Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi: Full Metal Alchemist,TV Series,64,Bones,2009,4.7,"The foundation of alchemy is based on the law of equivalent exchange; you cannot produce something from nothing. As such, alchemy is bound by one taboo - human transmutation. Four years ago two young brothers, Edward and Alphonse Elric, broke this taboo when they tried to resurrect their dead mother. During the process Al's body disintegrated and Ed lost his leg. In a desperate attempt to prevent his brother from disappearing completely, Ed sacrificed one of his arms so he could affix Al's soul to a suit of armor. When his missing limbs are replaced by auto mail parts, Ed bears the name of the Fullmetal Alchemist - the youngest ever State Alchemist and dog of the military. Now, alongside his brother, Ed uses his status within the military to attempt to find any way that he can return their bodies back to their original state.","['Action', 'Adventure', 'Drama', 'Fantasy', 'Mystery', 'Shounen', 'Conspiracy', 'Military', 'Siblings', 'Violence', 'Animal Abuse', 'Based on a Manga']"

your name.,Kimi no Na wa.,Movie,1,CoMix Wave Inc.,2016,4.7,"Mitsuha and Taki are two total strangers living completely different lives. But when Mitsuha makes a wish to leave her mountain town and for the bustling city of Tokyo, they become connected in a bizarre way. She dreams she is a boy living in Tokyo while Taki dreams he is a girl from a rural town he’s never been to. What does their newfound connection mean? And how will it bring them together?","['Drama', 'Romance', 'Body Swapping', 'Opposites Attract', 'Original Work', 'School Life', 'Supernatural']"

A Silent Voice,Koe no Katachi,Movie,1,Kyoto Animation,2016,4.7,"A deaf elementary school girl, Shouko Nishimiya, upon transferring, meets a boy named Shouya Ishida in her new class. Shouya, who is not deaf, leads the class in bullying Shouko, because she is deaf. As the bullying continues, the class starts to bully Shouya for bullying Shouko. After graduating from elementary school, Shouko and Shouya do not speak to each other… until later, when Shouya, tormented over his past, decides he must see Shouko once more. Shouya wants to make amends for what he did in elementary school and be Shouko's friend.","['Drama', 'Melancholy', 'School Life', 'Bullying', 'Mature Themes', 'Suicide', 'Based on a Manga']"

Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV Series,10,Production I.G,2016,4.7,"Picking up where the second season ended, the boys prepare to finally face off for the right to represent the prefecture in the volleyball national championship. Despite being known as “The Fallen Champions,” Karasuno is determined to take down the powerhouse that is the Shiratorizawa High volleyball team. As Hinata comes closer to fulfilling his promise to defeat Ushijima’s team, will the “Flightless Crows” finally find their wings and soar above the best school in the prefecture? ","['Shounen', 'Sports', 'Animeism', 'School Club', 'School Life', 'Tournaments', 'Volleyball', 'Based on a Manga']"

My Hero Academia 3,Boku no Hero Academia 3,TV Series,25,Bones,2018,4.7,Third season of My Hero Academia.,"['Action', 'Comedy', 'Drama', 'Sci Fi', 'Shounen', 'Superheroes', 'Superpowers', 'Violence', 'Based on a Manga']"
