id,title,alt_title,type,num_of_ep,studio,year,rating
2360,Fullmetal Alchemist: Brotherhood,Hagane no Renkinjutsushi: Full Metal Alchemist,TV Series,64,Bones,2009,4.7
7639,your name.,Kimi no Na wa.,Movie,1,CoMix Wave Inc.,2016,4.7
6805,A Silent Voice,Koe no Katachi,Movie,1,Kyoto Animation,2016,4.7
7777,Haikyuu!! Karasuno High School vs Shiratorizawa Academy,Haikyuu!! Karasuno Koukou vs Shiratorizawa Gakuen Koukou,TV Series,10,Production I.G,2016,4.7
9195,My Hero Academia 3,Boku no Hero Academia 3,TV Series,25,Bones,2018,4.7
10046,Gintama.: Shirogane no Tamashii-hen 2,Gintama: Silver Soul Arc 2,TV Series,14,BN Pictures,2018,4.7
6871,Haikyuu!! Second Season,No alternative title found,TV Series,25,Production I.G,2015,4.6
7966,My Hero Academia 2,Boku no Hero Academia 2,TV Series,25,Bones,2017,4.6
5219,Gintama Kanketsu-hen: Yorozuya yo Eien Nare,Gintama The Movie: The Final Chapter - Be Forever Yorozuya,Movie,1,Sunrise,2013,4.6
6879,Gintama (2015),Gintama°,TV Series,51,BN Pictures,2015,4.6
3701,Steins;Gate,No alternative title found,TV Series,24,WHITE FOX,2011,4.6
4336,Hunter x Hunter (2011),No alternative title found,TV Series,148,MADHOUSE,2011,4.6
1865,Code Geass: Lelouch of the Rebellion R2,Code Geass: Hangyaku no Lelouch R2,TV Series,25,Sunrise,2008,4.6
8617,March Comes in like a Lion 2nd Season,3-gatsu no Lion 2nd Season,TV Series,22,Shaft,2017,4.6
8104,Gintama.,No alternative title found,TV Series,12,BN Pictures,2017,4.6
6186,Mushishi Zoku Shou 2nd Season,Mushishi -Next Passage- 2nd Season,TV Series,10,Artland,2014,4.6
9459,Gintama.: Shirogane no Tamashii-hen,Gintama: Silver Soul Arc,TV Series,12,BN Pictures,2018,4.6
8324,Natsume Yuujinchou Roku,Natsume's Book of Friends Season 6,TV Series,11,Shuka,2017,4.6
2126,Clannad After Story,No alternative title found,TV Series,24,Kyoto Animation,2008,4.6
8329,Made in Abyss,No alternative title found,TV Series,13,Kinema Citrus,2017,4.6
5256,Gintama': Enchousen,No alternative title found,TV Series,13,Sunrise,2012,4.6
7093,One-Punch Man,No alternative title found,TV Series,12,MADHOUSE,2015,4.6
3718,Gintama',No alternative title found,TV Series,51,Sunrise,2011,4.6
11120,JoJo's Bizarre Adventure: Golden Wind,JoJo no Kimyou na Bouken: Kogane no Kaze,TV Series,4,David Production,2018,4.6
5984,Mushishi Zoku Shou,Mushishi -Next Passage-,TV Series,10,Artland,2014,4.6
4647,Wolf Children,Ookami Kodomo no Ame to Yuki,Movie,1,Studio Chizu,2012,4.6
12051,Quanzhi Fashi 3rd Season,No alternative title found,Web,3,No studio found,2018,4.6
93,Spirited Away,Sen to Chihiro no Kamikakushi,Movie,1,Studio Ghibli,2001,4.6
7531,Kizumonogatari Movie 3: Reiketsu,Kizumonogatari Movie 3: Reiketsu-hen,Movie,1,Shaft,2017,4.6
8648,Owarimonogatari (2017),No alternative title found,TV Special Series,3,Shaft,2017,4.6
2270,Hajime no Ippo: New Challenger,Fighting Spirit: New Challenger,TV Series,26,MADHOUSE,2009,4.6
4420,Natsume Yuujinchou Shi,Natsume's Book of Friends Season 4,TV Series,13,Brain's Base,2012,4.6
172,Hajime no Ippo: The Fighting!,Fighting Spirit,TV Series,75,MADHOUSE,2000,4.6
1057,Code Geass: Lelouch of the Rebellion,Code Geass: Hangyaku no Lelouch,TV Series,25,Sunrise,2006,4.6
7836,Descending Stories: Shouwa Genroku Rakugo Shinjuu,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,TV Series,12,Studio Deen,2017,4.6
7792,Natsume Yuujinchou Go,Natsume's Book of Friends Season 5,TV Series,11,Shuka,2016,4.6
5819,Haikyuu!!,No alternative title found,TV Series,25,Production I.G,2014,4.6
5394,Monogatari Series: Second Season,No alternative title found,TV Series,26,Shaft,2013,4.6
2877,The Disappearance of Haruhi Suzumiya,Suzumiya Haruhi no Shoushitsu,Movie,1,Kyoto Animation,2010,4.6
9911,Mo Dao Zu Shi,The Grandmaster of Demonic Cultivation,Web,15,G.CMay Animation & Film,2018,4.6
9029,Gintama: Porori-hen,Gintama: Slip Arc,TV Series,13,BN Pictures,2017,4.6
250,Princess Mononoke,Mononoke Hime,Movie,1,Studio Ghibli,1997,4.6
7283,ERASED,Boku dake ga Inai Machi,TV Series,12,A-1 Pictures,2016,4.5
3803,Kara no Kyoukai Movie 5: Mujun Rasen,The Garden of Sinners Movie 5: Paradox Paradigm,Movie,1,ufotable,2008,4.5
5915,Mushishi: Hihamukage,Mushishi: Sun-Eating Shade,TV Special Series,1,Artland,2014,4.5
1080,Howl's Moving Castle,Howl no Ugoku Shiro,Movie,1,Studio Ghibli,2004,4.5
7532,Kizumonogatari Movie 2: Nekketsu,Kizumonogatari Movie 2: Nekketsu-hen,Movie,1,Shaft,2016,4.5
52,Rurouni Kenshin: Tsuiokuhen,Rurouni Kenshin: Trust & Betrayal,OVA,4,Studio Deen,1999,4.5
8335,The Disastrous Life of Saiki K. 2nd Season,Saiki Kusuo no Psi Nan 2nd Season,TV Series,24,J.C. Staff,2018,4.5
4683,Fate/Zero 2,No alternative title found,TV Series,12,ufotable,2012,4.5
3751,Usagi Drop,Bunny Drop,TV Series,11,Production I.G,2011,4.5
8001,No Game No Life: Zero,No alternative title found,Movie,1,MADHOUSE,2017,4.5
5709,Hajime no Ippo: Rising,Fighting Spirit: Rising,TV Series,25,MADHOUSE,2013,4.5
6877,Mushishi Zoku Shou: Suzu no Shizuku,Mushishi -Next Passage- Movie,Movie,1,Artland,2015,4.5
7193,Assassination Classroom TV 2nd Season,Ansatsu Kyoushitsu 2nd Season,TV Series,25,Lerche,2016,4.5
6148,Your lie in April,Shigatsu wa Kimi no Uso,TV Series,22,A-1 Pictures,2014,4.5
6422,Kuroko's Basketball 3,Kuroko no Basket 3,TV Series,25,Production I.G,2015,4.5
4320,Hotarubi no Mori e,To the Forest of Firefly Lights,Movie,1,Brain's Base,2011,4.5
8946,Attack on Titan 3rd Season,Shingeki no Kyojin 3rd Season,TV Series,12,Wit Studio,2018,4.5
6439,Mushishi Zoku Shou: Odoro no Michi,Mushishi -Next Passage- Path of Thorns,TV Special Series,1,Artland,2014,4.5
60,Great Teacher Onizuka,No alternative title found,TV Series,43,Studio Pierrot,1999,4.5
400,Cowboy Bebop,No alternative title found,TV Series,26,Sunrise,1998,4.5
3993,Natsume Yuujinchou San,Natsume's Book of Friends Season 3,TV Series,13,Brain's Base,2011,4.5
7640,Food Wars! The Second Plate,Shokugeki no Souma: Ni no Sara,TV Series,13,J.C. Staff,2016,4.5
6853,The Boy and the Beast,Bakemono no Ko,Movie,1,Studio Chizu,2015,4.5
7783,Yona of the Dawn: Zeno Arc,Akatsuki no Yona: Zeno Arc,OVA,2,Studio Pierrot,2016,4.5
9011,Fairy Tail (2018),No alternative title found,TV Series,4,A-1 Pictures,2018,4.5
5328,Kuroko's Basketball 2,Kuroko no Basket 2,TV Series,25,Production I.G,2013,4.5
8949,Food Wars! The Third Plate,Shokugeki no Souma: San no Sara,TV Series,12,J.C. Staff,2017,4.5
7172,Kamisama Kiss OVA 2,Kamisama Hajimemashita: Kako-hen,OVA,4,TMS Entertainment,2015,4.5
9431,Food Wars! The Third Plate: Totsuki Train Arc,Shokugeki no Souma: San no Sara  - Toutsuki Ressha,TV Series,12,J.C. Staff,2018,4.5
322,Legend of the Galactic Heroes,Ginga Eiyuu Densetsu,OVA,110,Artland,1988,4.5
7585,My Hero Academia,Boku no Hero Academia,TV Series,13,Bones,2016,4.5
4707,Bakuman. 3,No alternative title found,TV Series,25,J.C. Staff,2012,4.5
9952,Overlord III,No alternative title found,TV Series,13,MADHOUSE,2018,4.5
2265,Zoku Natsume Yuujinchou,Natsume's Book of Friends Season 2,TV Series,13,Brain's Base,2009,4.5
4397,Steins;Gate Movie: Load Region of Deja Vu,Steins;Gate Movie: Fuka Ryouiki no Deja vu,Movie,1,WHITE FOX,2013,4.5
3805,Kara no Kyoukai Movie 7: Satsujin Kousatsu (Part 2),The Garden of Sinners Movie 7: Murder Speculation Part B (...not nothing heart.),Movie,1,ufotable,2009,4.5
8102,The Seven Deadly Sins: Revival of The Commandments,Nanatsu no Taizai: Imashime no Fukkatsu,TV Series,24,A-1 Pictures,2018,4.5
6039,Parasyte -the maxim-,Kiseijuu: Sei no Kakuritsu,TV Series,24,MADHOUSE,2014,4.5
