id,tags
2360,Action
2360,Adventure
2360,Drama
2360,Fantasy
2360,Mystery
2360,Shounen
2360,Conspiracy
2360,Military
2360,Siblings
2360,Violence
2360,Animal Abuse
2360,Based on a Manga
7639,Drama
7639,Romance
7639,Body Swapping
7639,Opposites Attract
7639,Original Work
7639,School Life
7639,Supernatural
6805,Drama
6805,Melancholy
6805,School Life
6805,Bullying
6805,Mature Themes
6805,Suicide
6805,Based on a Manga
7777,Shounen
7777,Sports
7777,Animeism
7777,School Club
7777,School Life
7777,Tournaments
7777,Volleyball
7777,Based on a Manga
9195,Action
9195,Comedy
9195,Drama
9195,Sci Fi
9195,Shounen
9195,Superheroes
9195,Superpowers
9195,Violence
9195,Based on a Manga
10046,Action
10046,Comedy
10046,Drama
10046,Sci Fi
10046,Shounen
10046,Aliens
10046,Crude
10046,Feudal Japan
10046,Gag
10046,Samurai
10046,Slapstick
10046,Swordplay
10046,Based on a Manga
6871,Shounen
6871,Sports
6871,School Club
6871,School Life
6871,Tournaments
6871,Volleyball
6871,Based on a Manga
7966,Action
7966,Comedy
7966,Drama
7966,Sci Fi
7966,Shounen
7966,School Life
7966,Superheroes
7966,Superpowers
7966,Tournaments
7966,Weak to Strong
7966,Based on a Manga
5219,Action
5219,Comedy
5219,Drama
5219,Sci Fi
5219,Shounen
5219,Aliens
5219,Feudal Japan
5219,Samurai
5219,Swordplay
5219,Time Travel
5219,Based on a Manga
6879,Action
6879,Comedy
6879,Drama
6879,Sci Fi
6879,Shounen
6879,Aliens
6879,Breaking the Fourth Wall
6879,Crude
6879,Feudal Japan
6879,Gag
6879,Parody
6879,Samurai
6879,Slapstick
6879,Swordplay
6879,Based on a Manga
3701,Sci Fi
3701,Conspiracy
3701,LGBT Themes
3701,Psychological
3701,Thriller
3701,Time Travel
3701,Mature Themes
3701,Suicide
3701,Based on a Visual Novel
4336,Action
4336,Adventure
4336,Drama
4336,Fantasy
4336,Shounen
4336,Monsters
4336,Superpowers
4336,Violence
4336,Based on a Manga
1865,Mecha
1865,Sci Fi
1865,Conspiracy
1865,Mind Games
1865,Original Work
1865,Overpowered Main Characters
1865,Political
1865,Psychological
1865,Real Robot
1865,Rebellions
1865,Rivalries
1865,Royalty
1865,Superpowers
1865,Terrorism
8617,Drama
8617,Seinen
8617,Slice of Life
8617,Board Games
8617,Melancholy
8617,Orphans
8617,Psychological
8617,Bullying
8617,Based on a Manga
8104,Action
8104,Comedy
8104,Drama
8104,Sci Fi
8104,Shounen
8104,Aliens
8104,Crude
8104,Feudal Japan
8104,Gag
8104,Samurai
8104,Slapstick
8104,Swordplay
8104,Based on a Manga
6186,Fantasy
6186,Seinen
6186,Episodic
6186,Iyashikei
6186,Supernatural
6186,Based on a Manga
9459,Action
9459,Comedy
9459,Drama
9459,Sci Fi
9459,Shounen
9459,Aliens
9459,Crude
9459,Feudal Japan
9459,Gag
9459,Samurai
9459,Slapstick
9459,Swordplay
9459,Based on a Manga
8324,Drama
8324,Fantasy
8324,Shoujo
8324,Bodyguards
8324,Cats
8324,Countryside
8324,Episodic
8324,Iyashikei
8324,Japanese Mythology
8324,Orphans
8324,Supernatural
8324,Youkai
8324,Based on a Manga
2126,Drama
2126,Romance
2126,Coming of Age
2126,Family Life
2126,Based on a Visual Novel
8329,Adventure
8329,Fantasy
8329,Mystery
8329,Sci Fi
8329,Seinen
8329,Androids
8329,Melancholy
8329,Orphans
8329,Outside World
8329,Psychological
8329,Robots
8329,Explicit Violence
8329,Based on a Manga
5256,Action
5256,Comedy
5256,Drama
5256,Sci Fi
5256,Shounen
5256,Aliens
5256,Crude
5256,Feudal Japan
5256,Gag
5256,Parody
5256,Samurai
5256,Slapstick
5256,Swordplay
5256,Based on a Manga
7093,Action
7093,Comedy
7093,Sci Fi
7093,Seinen
7093,Cyborgs
7093,Monsters
7093,Overpowered Main Characters
7093,Parody
7093,Satire
7093,Superheroes
7093,Superpowers
7093,Explicit Violence
7093,Based on a Manga
3718,Action
3718,Comedy
3718,Drama
3718,Sci Fi
3718,Shounen
3718,Aliens
3718,Breaking the Fourth Wall
3718,Crude
3718,Feudal Japan
3718,Gag
3718,Parody
3718,Samurai
3718,Slapstick
3718,Swordplay
3718,Based on a Manga
11120,Action
11120,Shounen
11120,Supernatural
11120,Based on a Manga
5984,Fantasy
5984,Seinen
5984,Episodic
5984,Iyashikei
5984,Supernatural
5984,Based on a Manga
4647,Fantasy
4647,Slice of Life
4647,Childcare
4647,Coming of Age
4647,Contemporary Fantasy
4647,Countryside
4647,Family Life
4647,Lifestyle Change
4647,Original Work
4647,Single Parent
4647,Werewolves
12051,Fantasy
12051,Chinese Animation
12051,Magic
12051,School Life
12051,Supernatural
12051,Urban Fantasy
12051,Based on a Light Novel
12051,Based on a Web Novel
93,Adventure
93,Fantasy
93,Family Friendly
93,Japanese Mythology
93,Magic
93,Original Work
93,Person in a Strange World
93,Youkai
7531,Action
7531,Drama
7531,Ecchi
7531,Psychological
7531,Supernatural
7531,Vampires
7531,Explicit Violence
7531,Nudity
7531,Based on a Light Novel
8648,Supernatural
8648,Based on a Light Novel
2270,Action
2270,Drama
2270,Shounen
2270,Sports
2270,Boxing
2270,Hand to Hand Combat
2270,Tournaments
2270,Based on a Manga
4420,Drama
4420,Shoujo
4420,Slice of Life
4420,Bodyguards
4420,Cats
4420,Countryside
4420,Episodic
4420,Iyashikei
4420,Japanese Mythology
4420,Orphans
4420,Supernatural
4420,Youkai
4420,Based on a Manga
172,Action
172,Drama
172,Shounen
172,Sports
172,Boxing
172,Hand to Hand Combat
172,Weak to Strong
172,Based on a Manga
1057,Mecha
1057,Sci Fi
1057,Conspiracy
1057,Mind Games
1057,Original Work
1057,Overpowered Main Characters
1057,Political
1057,Psychological
1057,Real Robot
1057,Rebellions
1057,Revenge
1057,Rivalries
